examinee,scope,tau_model,n_reactive,routes_reactive,pairs_reactive,flip_rate,flip_lo,flip_hi,any_direction_rate,wrong_direction_rate,n_nonreactive,false_flip_nonreactive,false_flip_null_insample,false_flip_null_oos,n_null,flip_rate_family_equal
prior [cinque],pooled,1.1648510098457336,1081,49,147,0.48196114708603144,0.3549692920535316,0.6022899718701918,0.48196114708603144,0.0,4045,0.06946847960444993,0.050062972292191435,0.0505208708096483,3176.0,0.3347009998113563
prior [cinque],DynamicObjectCrossing,1.1648510098457336,293,13,39,0.0,0.0,0.0,0.0,0.0,316,0.0031645569620253164,,,,
prior [cinque],HighwayCutIn,1.1648510098457336,207,8,24,1.0,1.0,1.0,1.0,0.0,1112,0.23651079136690648,,,,
prior [cinque],Light,1.1648510098457336,9,3,9,0.0,0.0,0.0,0.0,0.0,195,0.0,,,,
prior [cinque],OppositeVehicleRunningRedLight,1.1648510098457336,0,0,0,,,,,,58,0.05172413793103448,,,,
prior [cinque],ParkingCrossingPedestrian,1.1648510098457336,76,5,15,0.013157894736842105,0.0,0.033707865168539325,0.013157894736842105,0.0,234,0.05128205128205128,,,,
prior [cinque],ParkingCutIn,1.1648510098457336,217,8,24,0.631336405529954,0.4611872146118721,0.7361111111111112,0.631336405529954,0.0,600,0.0,,,,
prior [cinque],PedestrianCrossing,1.1648510098457336,27,2,6,0.0,0.0,0.0,0.0,0.0,809,0.006180469715698393,,,,
prior [cinque],StaticCutIn,1.1648510098457336,252,10,30,0.6984126984126984,0.5670337194683908,0.8237829240688661,0.6984126984126984,0.0,779,0.0,,,,
prior [cinque],VehicleTurningRoutePedestrian,1.1648510098457336,10,1,3,0.0,0.0,0.0,0.0,0.0,2649,0.0,,,,
E2 pair (a) [cinque],pooled,1.766753375530243,1081,49,147,0.3792784458834413,0.2667598161506379,0.48700560917239377,0.3792784458834413,0.0,4045,0.037824474660074166,0.050062972292191435,0.05069635990054286,3176.0,0.2636809749612795
E2 pair (a) [cinque],DynamicObjectCrossing,1.766753375530243,293,13,39,0.0,0.0,0.0,0.0,0.0,316,0.0,,,,
E2 pair (a) [cinque],HighwayCutIn,1.766753375530243,207,8,24,0.9420289855072463,0.8787878787878788,0.9907407407407407,0.9420289855072463,0.0,1112,0.1357913669064748,,,,
E2 pair (a) [cinque],Light,1.766753375530243,9,3,9,0.0,0.0,0.0,0.0,0.0,195,0.0,,,,
E2 pair (a) [cinque],OppositeVehicleRunningRedLight,1.766753375530243,0,0,0,,,,,,58,0.08620689655172414,,,,
E2 pair (a) [cinque],ParkingCrossingPedestrian,1.766753375530243,76,5,15,0.0,0.0,0.0,0.0,0.0,234,0.0,,,,
E2 pair (a) [cinque],ParkingCutIn,1.766753375530243,217,8,24,0.3640552995391705,0.21100917431192662,0.5139448924731179,0.3640552995391705,0.0,600,0.0033333333333333335,,,,
E2 pair (a) [cinque],PedestrianCrossing,1.766753375530243,27,2,6,0.0,0.0,0.0,0.0,0.0,809,0.0,,,,
E2 pair (a) [cinque],StaticCutIn,1.766753375530243,252,10,30,0.5396825396825397,0.4133624651490548,0.6600057915057915,0.5396825396825397,0.0,779,0.0,,,,
